Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/11/1998,00:00:00,HBV,0.0,0.2,1.2,8.9,10.1

01/11/1998,00:15:00,HBV,0.0,0.0,1.2,8.9,10.1

01/11/1998,00:30:00,HBV,0.0,0.0,1.0,8.7,10.1

01/11/1998,00:45:00,HBV,0.0,0.0,1.0,8.7,10.1

01/11/1998,01:00:00,HBV,0.0,0.0,0.8,8.7,10.1

01/11/1998,01:15:00,HBV,0.2,0.2,1.0,8.9,10.3

01/11/1998,01:30:00,HBV,0.0,0.2,0.8,8.4,10.3

01/11/1998,01:45:00,HBV,0.2,0.4,0.8,8.6,10.5

01/11/1998,02:00:00,HBV,0.0,0.4,0.8,8.6,10.5

01/11/1998,02:15:00,HBV,0.0,0.2,0.8,8.6,10.5

01/11/1998,02:30:00,HBV,0.0,0.2,0.8,8.4,10.5

01/11/1998,02:45:00,HBV,0.0,0.0,0.6,7.9,10.5

01/11/1998,03:00:00,HBV,0.0,0.0,0.6,7.7,10.5

01/11/1998,03:15:00,HBV,0.0,0.0,0.4,7.5,10.5

01/11/1998,03:30:00,HBV,0.0,0.0,0.4,7.3,10.5

01/11/1998,03:45:00,HBV,0.0,0.0,0.4,7.3,10.5

01/11/1998,04:00:00,HBV,0.0,0.0,0.4,7.3,10.5

01/11/1998,04:15:00,HBV,0.0,0.0,0.4,7.3,10.5

01/11/1998,04:30:00,HBV,0.0,0.0,0.4,7.3,10.5

01/11/1998,04:45:00,HBV,0.0,0.0,0.4,7.1,10.5

01/11/1998,05:00:00,HBV,0.0,0.0,0.4,6.6,10.5

01/11/1998,05:15:00,HBV,0.0,0.0,0.2,6.4,10.5

01/11/1998,05:30:00,HBV,0.0,0.0,0.2,6.4,10.5

01/11/1998,05:45:00,HBV,0.0,0.0,0.0,6.4,10.5

01/11/1998,06:00:00,HBV,0.0,0.0,0.0,6.4,10.5

01/11/1998,06:15:00,HBV,0.0,0.0,0.0,6.2,10.5

