Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/12/2006,00:00:40,HBV,0.0,2.4,18.6,56.0,99.4

01/12/2006,00:15:40,HBV,0.0,2.0,18.4,56.0,98.8

01/12/2006,00:30:40,HBV,0.0,0.6,18.4,56.0,98.2

01/12/2006,00:45:40,HBV,0.0,0.0,18.2,56.0,97.2

01/12/2006,01:00:40,HBV,0.0,0.0,17.0,56.0,96.4

01/12/2006,01:15:40,HBV,0.0,0.0,14.6,56.0,95.4

01/12/2006,01:30:40,HBV,0.0,0.0,12.2,56.0,94.8

01/12/2006,01:45:40,HBV,0.0,0.0,10.0,56.0,94.4

01/12/2006,02:00:40,HBV,0.0,0.0,7.8,56.0,94.4

01/12/2006,02:15:40,HBV,0.0,0.0,5.4,56.0,94.4

01/12/2006,02:30:40,HBV,0.0,0.0,4.0,56.0,94.4

01/12/2006,02:45:40,HBV,0.0,0.0,3.2,56.0,94.4

01/12/2006,03:00:40,HBV,0.0,0.0,2.4,56.0,94.4

01/12/2006,03:15:40,HBV,0.0,0.0,2.0,56.0,94.4

01/12/2006,03:30:40,HBV,0.0,0.0,0.6,56.0,94.4

01/12/2006,03:45:40,HBV,0.0,0.0,0.0,56.0,94.4

01/12/2006,04:00:40,HBV,0.0,0.0,0.0,56.0,94.4

01/12/2006,04:15:40,HBV,0.0,0.0,0.0,56.0,94.4

01/12/2006,04:30:40,HBV,0.0,0.0,0.0,56.0,94.4

01/12/2006,04:45:40,HBV,0.2,0.2,0.2,56.2,94.6

01/12/2006,05:00:40,HBV,0.0,0.2,0.2,56.2,94.6

01/12/2006,05:15:40,HBV,0.0,0.2,0.2,56.2,94.6

01/12/2006,05:30:40,HBV,0.0,0.2,0.2,56.2,94.4

01/12/2006,05:45:40,HBV,0.0,0.0,0.2,56.2,94.4

01/12/2006,06:00:40,HBV,0.0,0.0,0.2,56.2,94.0

01/12/2006,06:15:40,HBV,0.0,0.0,0.2,56.2,93.8

01/12/2006,06:30:40,HBV,0.0,0.0,0.2,56.2,93.6

01/12/2006,06:45:40,HBV,0.0,0.0,0.2,56.2,93.6

01/12/2006,07:00:40,HBV,0.6,0.6,0.8,56.8,94.2

01/12/2006,07:15:40,HBV,0.0,0.6,0.8,56.8,94.2

01/12/2006,07:30:40,HBV,0.0,0.6,0.8,56.8,94.2

01/12/2006,07:45:40,HBV,0.2,0.8,1.0,57.0,94.4

01/12/2006,08:00:40,HBV,0.2,0.4,1.2,57.2,94.6

01/12/2006,08:15:40,HBV,0.0,0.4,1.2,56.6,94.6

01/12/2006,08:30:40,HBV,0.0,0.4,1.2,56.4,94.6

01/12/2006,08:45:40,HBV,0.0,0.2,1.0,56.2,94.6

01/12/2006,09:00:40,HBV,0.0,0.0,1.0,56.2,94.6

01/12/2006,09:15:40,HBV,0.2,0.2,1.2,56.4,94.8

01/12/2006,09:30:40,HBV,0.0,0.2,1.2,56.4,94.8

01/12/2006,09:45:40,HBV,0.0,0.2,1.2,56.2,94.8

01/12/2006,10:00:40,HBV,0.0,0.2,1.2,56.0,94.8

01/12/2006,10:15:40,HBV,0.0,0.0,1.2,56.0,94.8

01/12/2006,10:30:40,HBV,0.0,0.0,1.2,56.0,94.8

01/12/2006,10:45:40,HBV,0.0,0.0,1.2,56.0,94.8

01/12/2006,11:00:40,HBV,0.0,0.0,0.6,54.0,94.8

01/12/2006,11:15:40,HBV,0.0,0.0,0.6,51.8,94.8

01/12/2006,11:30:40,HBV,0.0,0.0,0.6,51.2,94.8

01/12/2006,11:45:40,HBV,0.0,0.0,0.4,50.0,94.8

01/12/2006,12:00:40,HBV,0.0,0.0,0.2,48.0,94.8

01/12/2006,12:15:40,HBV,0.0,0.0,0.2,46.4,94.8

01/12/2006,12:30:40,HBV,0.0,0.0,0.2,45.0,94.8

01/12/2006,12:45:40,HBV,0.0,0.0,0.2,43.2,94.8

01/12/2006,13:00:40,HBV,0.0,0.0,0.2,42.2,94.8

01/12/2006,13:15:40,HBV,0.0,0.0,0.0,40.0,94.8

01/12/2006,13:30:40,HBV,0.0,0.0,0.0,37.6,94.8

01/12/2006,13:45:40,HBV,0.4,0.4,0.4,35.4,95.2

01/12/2006,14:00:40,HBV,0.2,0.6,0.6,34.0,95.4

01/12/2006,14:15:40,HBV,0.0,0.6,0.6,33.6,95.4

01/12/2006,14:30:40,HBV,0.0,0.6,0.6,33.4,95.4

01/12/2006,14:45:40,HBV,0.2,0.4,0.8,33.0,95.6

01/12/2006,15:00:40,HBV,0.0,0.2,0.8,31.8,95.6

01/12/2006,15:15:40,HBV,0.0,0.2,0.8,30.0,95.6

01/12/2006,15:30:40,HBV,0.0,0.2,0.8,30.0,95.6

01/12/2006,15:45:40,HBV,0.0,0.0,0.8,30.0,95.6

01/12/2006,16:00:40,HBV,0.0,0.0,0.8,28.8,95.6

01/12/2006,16:15:40,HBV,0.0,0.0,0.8,26.0,95.6

01/12/2006,16:30:40,HBV,0.0,0.0,0.8,25.8,95.2

01/12/2006,16:45:40,HBV,0.0,0.0,0.8,25.6,95.2

01/12/2006,17:00:40,HBV,0.0,0.0,0.8,25.4,95.2

01/12/2006,17:15:40,HBV,0.0,0.0,0.8,23.8,95.2

01/12/2006,17:30:40,HBV,0.0,0.0,0.8,23.0,95.2

01/12/2006,17:45:40,HBV,0.0,0.0,0.4,22.4,95.2

01/12/2006,18:00:40,HBV,0.0,0.0,0.2,22.0,95.2

01/12/2006,18:15:40,HBV,0.0,0.0,0.2,22.0,95.2

01/12/2006,18:30:40,HBV,0.0,0.0,0.2,22.0,95.2

01/12/2006,18:45:40,HBV,0.0,0.0,0.0,22.0,95.2

01/12/2006,19:00:40,HBV,0.0,0.0,0.0,22.0,95.2

01/12/2006,19:15:40,HBV,0.0,0.0,0.0,21.8,95.2

01/12/2006,19:30:40,HBV,0.0,0.0,0.0,21.8,95.2

01/12/2006,19:45:40,HBV,0.0,0.0,0.0,21.2,95.2

01/12/2006,20:00:40,HBV,0.0,0.0,0.0,20.8,95.2

01/12/2006,20:15:40,HBV,0.0,0.0,0.0,20.6,95.2

01/12/2006,20:30:40,HBV,0.0,0.0,0.0,20.6,95.2

01/12/2006,20:45:40,HBV,0.0,0.0,0.0,20.4,95.2

01/12/2006,21:00:40,HBV,0.0,0.0,0.0,19.2,95.2

01/12/2006,21:15:40,HBV,0.0,0.0,0.0,16.8,95.2

01/12/2006,21:30:40,HBV,0.0,0.0,0.0,14.4,95.2

01/12/2006,21:45:40,HBV,0.0,0.0,0.0,12.2,95.2

01/12/2006,22:00:40,HBV,0.0,0.0,0.0,10.0,95.2

01/12/2006,22:15:40,HBV,0.0,0.0,0.0,7.6,95.2

01/12/2006,22:30:40,HBV,0.0,0.0,0.0,6.2,95.2

01/12/2006,22:45:40,HBV,0.0,0.0,0.0,5.4,95.2

01/12/2006,23:00:40,HBV,0.0,0.0,0.0,4.6,95.2

01/12/2006,23:15:40,HBV,0.0,0.0,0.0,4.2,95.2

01/12/2006,23:30:40,HBV,0.0,0.0,0.0,2.8,95.2

01/12/2006,23:45:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,00:00:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,00:15:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,00:30:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,00:45:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,01:00:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,01:15:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,01:30:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,01:45:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,02:00:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,02:15:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,02:30:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,02:45:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,03:00:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,03:15:40,HBV,0.0,0.0,0.0,2.2,95.2

02/12/2006,03:30:40,HBV,0.0,0.0,0.0,2.2,95.2

