Relatório Pluviométrico da Estação: Bangu

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2000  00:08:20  HBV      0.0    0.0    5.4    6.8   16.4
01/12/2000  00:23:20  HBV      0.0    0.0    4.6    6.8   16.4
01/12/2000  00:38:20  HBV      0.0    0.0    4.4    6.8   16.4
01/12/2000  00:53:20  HBV      0.0    0.0    4.0    6.8   16.4
01/12/2000  01:08:20  HBV      0.0    0.0    3.4    6.8   16.4
01/12/2000  01:23:20  HBV      0.0    0.0    2.2    6.8   16.4
01/12/2000  01:38:20  HBV      0.0    0.0    1.0    6.8   16.4
01/12/2000  01:53:20  HBV      0.0    0.0    0.4    6.8   16.4
01/12/2000  02:08:20  HBV      0.0    0.0    0.2    6.8   16.4
01/12/2000  02:23:20  HBV      0.0    0.0    0.2    6.8   16.4
01/12/2000  02:38:20  HBV      0.0    0.0    0.2    6.8   16.4
01/12/2000  02:53:20  HBV      0.0    0.0    0.0    6.8   16.4
01/12/2000  03:08:20  HBV      0.2    0.2    0.2    7.0   16.6
01/12/2000  03:23:20  HBV      0.0    0.2    0.2    7.0   16.6
01/12/2000  03:38:20  HBV      0.0    0.2    0.2    7.0   16.6
01/12/2000  03:53:20  HBV      0.0    0.2    0.2    7.0   16.6
01/12/2000  04:08:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  04:23:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  04:38:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  04:53:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  05:08:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  05:23:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  05:38:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  05:53:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  06:08:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  06:23:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  06:38:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  06:53:20  HBV      0.0    0.0    0.2    7.0   16.6
01/12/2000  07:08:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  07:23:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  07:38:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  07:53:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  08:08:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  08:23:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  08:38:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  08:53:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  09:08:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  09:23:20  HBV      0.0    0.0    0.0    7.0   16.6
01/12/2000  09:38:20  HBV      0.2    0.2    0.2    7.2   16.8
01/12/2000  09:53:20  HBV      0.4    0.6    0.6    7.6   17.2
01/12/2000  10:08:20  HBV      0.2    0.8    0.8    7.8   17.4
01/12/2000  10:23:20  HBV      0.2    1.0    1.0    8.0   17.6
01/12/2000  10:38:20  HBV      0.0    0.8    1.0    8.0   17.6
01/12/2000  10:53:20  HBV      0.0    0.4    1.0    8.0   17.6
01/12/2000  11:08:20  HBV      0.0    0.2    1.0    8.0   17.6
01/12/2000  11:23:20  HBV      0.0    0.0    1.0    8.0   17.6
01/12/2000  11:38:20  HBV      0.0    0.0    1.0    8.0   17.6
01/12/2000  11:53:20  HBV      0.0    0.0    1.0    8.0   17.6
01/12/2000  12:08:20  HBV      0.0    0.0    1.0    8.0   17.6
01/12/2000  12:23:20  HBV      1.0    1.0    2.0    9.0   18.6
01/12/2000  12:38:20  HBV      0.4    1.4    2.4    9.4   19.0
01/12/2000  12:53:20  HBV      0.0    1.4    2.4    9.4   19.0
01/12/2000  13:08:20  HBV      0.0    1.4    2.4    9.4   19.0
01/12/2000  13:23:20  HBV      0.0    0.4    2.4    9.4   19.0
01/12/2000  13:38:20  HBV      0.0    0.0    2.2    9.4   19.0
01/12/2000  13:53:20  HBV      0.0    0.0    1.8    9.4   19.0
01/12/2000  14:08:20  HBV      0.0    0.0    1.6    9.4   19.0
01/12/2000  14:23:20  HBV      0.0    0.0    1.4    9.4   19.0
01/12/2000  14:38:20  HBV      0.0    0.0    1.4    9.4   19.0
01/12/2000  14:53:20  HBV      0.0    0.0    1.4    9.4   19.0
01/12/2000  15:08:20  HBV      0.0    0.0    1.4    9.4   19.0
01/12/2000  15:23:20  HBV      0.0    0.0    1.4    9.4   16.4
01/12/2000  15:38:20  HBV      0.0    0.0    1.4    9.4   16.4
01/12/2000  15:53:20  HBV      0.0    0.0    1.4    9.4   16.4
01/12/2000  16:08:20  HBV      0.0    0.0    1.4    9.4   16.4
01/12/2000  16:23:20  HBV      0.0    0.0    0.4    9.4   16.4
01/12/2000  16:38:20  HBV      0.0    0.0    0.0    9.4   16.4
01/12/2000  16:53:20  HBV      0.0    0.0    0.0    9.4   16.4
01/12/2000  17:08:20  HBV      0.2    0.2    0.2    9.6   16.6
01/12/2000  17:23:20  HBV      0.0    0.2    0.2    9.6   16.6
01/12/2000  17:38:20  HBV      0.6    0.8    0.8   10.2   17.2
01/12/2000  17:53:20  HBV      0.4    1.2    1.2   10.6   17.6
01/12/2000  18:08:20  HBV      0.2    1.2    1.4   10.8   17.8
01/12/2000  18:23:20  HBV      0.2    1.4    1.6   11.0   18.0
01/12/2000  18:38:20  HBV      0.4    1.2    2.0   11.4   18.4
01/12/2000  18:53:20  HBV      0.2    1.0    2.2   11.6   18.6
01/12/2000  19:08:20  HBV      0.0    0.8    2.2   11.6   18.6
01/12/2000  19:23:20  HBV      0.2    0.8    2.4   11.8   18.8
01/12/2000  19:38:20  HBV      0.0    0.4    2.4   11.6   18.8
01/12/2000  19:53:20  HBV      0.2    0.4    2.6   11.2   19.0
01/12/2000  20:08:20  HBV      0.2    0.6    2.8   10.8   19.2
01/12/2000  20:23:20  HBV      0.0    0.4    2.8   10.0   19.2
01/12/2000  20:38:20  HBV      0.0    0.4    2.8    9.8   19.2
01/12/2000  20:53:20  HBV      0.0    0.2    2.8    9.4   19.2
01/12/2000  21:08:20  HBV      0.0    0.0    2.6    8.8   19.2
01/12/2000  21:23:20  HBV      0.0    0.0    2.6    7.6   19.2
01/12/2000  21:38:20  HBV      0.0    0.0    2.0    6.4   19.2
01/12/2000  21:53:20  HBV      0.4    0.4    2.0    6.2   19.6
01/12/2000  22:08:20  HBV      0.0    0.4    1.8    6.0   19.6
01/12/2000  22:23:20  HBV      1.6    2.0    3.2    7.6   21.2
01/12/2000  22:38:20  HBV      0.4    2.4    3.2    8.0   21.6
01/12/2000  22:53:20  HBV      0.0    2.0    3.0    7.8   21.6
01/12/2000  23:08:20  HBV      0.0    2.0    3.0    7.8   21.6
01/12/2000  23:23:20  HBV      0.0    0.4    2.8    7.8   21.6
01/12/2000  23:38:20  HBV      0.0    0.0    2.8    7.8   21.6
01/12/2000  23:53:20  HBV      0.0    0.0    2.6    7.8   21.6
02/12/2000  00:08:20  HBV      0.0    0.0    2.4    7.8   21.6
02/12/2000  00:23:20  HBV      0.0    0.0    2.4    7.8   21.6
02/12/2000  00:38:20  HBV      0.0    0.0    2.4    7.8   21.6
02/12/2000  00:53:20  HBV      0.0    0.0    2.4    7.8   21.6
02/12/2000  01:08:20  HBV      0.0    0.0    2.4    7.8   21.6
02/12/2000  01:23:20  HBV      0.2    0.2    2.6    8.0   21.8
02/12/2000  01:38:20  HBV      0.2    0.4    2.8    8.2   22.0
02/12/2000  01:53:20  HBV      0.0    0.4    2.4    8.2   22.0
02/12/2000  02:08:20  HBV      0.2    0.6    2.6    8.4   22.2
02/12/2000  02:23:20  HBV      0.2    0.6    1.2    8.6   22.4
02/12/2000  02:38:20  HBV      0.0    0.4    0.8    8.6   22.4
02/12/2000  02:53:20  HBV      0.0    0.4    0.8    8.6   22.4
02/12/2000  03:08:20  HBV      0.0    0.2    0.8    8.4   22.4
02/12/2000  03:23:20  HBV      1.4    1.4    2.2    9.8   23.8
02/12/2000  03:38:20  HBV      1.4    2.8    3.6   11.2   25.2
02/12/2000  03:53:20  HBV      1.2    4.0    4.8   12.4   26.4
