Relatório Pluviométrico da Estação: Grota Funda

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2022  00:00:00           0.0    0.2    2.6    4.0   18.0
01/12/2022  00:15:00           0.0    0.2    1.8    4.0   17.8
01/12/2022  00:30:00           0.0    0.0     ND    4.0   17.6
01/12/2022  00:45:00           0.0    0.0     ND    4.0   16.6
01/12/2022  01:00:00           0.0    0.0    0.2    4.0   16.4
01/12/2022  01:15:00           0.0    0.0    0.2    4.0   15.8
01/12/2022  01:30:00           0.0    0.0    0.2    4.0   15.8
01/12/2022  01:45:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  02:00:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  02:15:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  02:30:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  02:45:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  03:00:00           0.0    0.0    0.2    3.8     ND
01/12/2022  03:15:00           0.0    0.0    0.2    3.8   15.6
01/12/2022  03:30:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  03:45:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  04:00:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  04:15:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  04:30:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  04:45:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  05:00:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  05:15:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  05:30:00           0.0    0.0    0.0    3.8   15.6
01/12/2022  05:45:00           0.0    0.0    0.0    3.8   15.4
01/12/2022  06:00:00           0.0    0.0    0.0    3.8   15.4
01/12/2022  06:15:00           0.0    0.0    0.0    3.8   15.4
01/12/2022  06:30:00           0.0    0.0    0.0    3.8   15.4
01/12/2022  06:45:00           0.0    0.0    0.0    3.8   14.8
01/12/2022  07:00:00           0.0    0.0    0.0    3.8   14.6
01/12/2022  07:15:00           0.0    0.0    0.0     ND   14.0
01/12/2022  07:30:00           0.0    0.0    0.0     ND   13.4
01/12/2022  07:45:00           0.0    0.0    0.0    3.8   12.8
01/12/2022  08:00:00            ND     ND     ND     ND     ND
01/12/2022  08:15:00            ND    0.0    0.0    3.8   12.0
01/12/2022  08:30:00           0.0    0.0    0.0    3.8   11.2
01/12/2022  08:45:00           0.0    0.0    0.0    3.8   10.2
01/12/2022  09:00:00           0.0     ND    0.0    3.8    9.0
01/12/2022  09:15:00           0.0    0.0    0.0    3.8    8.4
01/12/2022  09:30:00           0.0    0.0    0.0    3.8    8.0
01/12/2022  09:45:00           0.0    0.0    0.0     ND    7.6
01/12/2022  10:00:00           0.0    0.0    0.0     ND    7.4
01/12/2022  10:15:00           0.0    0.0    0.0    3.8    7.0
01/12/2022  10:30:00           0.0    0.0    0.0    3.8    6.6
