Relatório Pluviométrico da Estação: Ilha do Governador

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/01/2007  00:00:00  HBV      0.0    0.2    1.0    8.4   14.4
01/01/2007  00:15:00  HBV      0.0    0.0    1.0    8.4   14.4
01/01/2007  00:30:00  HBV      0.2    0.2    1.2    8.6   14.6
01/01/2007  00:45:00  HBV      0.0    0.2    1.2    8.6   14.6
01/01/2007  01:00:00  HBV      0.0    0.2    1.0    8.6   14.6
01/01/2007  01:15:00  HBV      0.2    0.4    1.2    8.8   14.8
01/01/2007  01:30:00  HBV      0.2    0.4    1.4    9.0   15.0
01/01/2007  01:45:00  HBV      0.2    0.6    1.6    9.2   15.2
01/01/2007  02:00:00  HBV      0.0    0.6    1.4    9.2   15.2
01/01/2007  02:15:00  HBV      0.2    0.6    1.6    9.4   15.4
01/01/2007  02:30:00  HBV      0.2    0.6    1.8    9.6   15.6
01/01/2007  02:45:00  HBV      0.2    0.6    1.8    9.8   15.8
01/01/2007  03:00:00  HBV      0.2    0.8    1.8   10.0   16.0
01/01/2007  03:15:00  HBV      0.6    1.2    2.2   10.6   16.6
01/01/2007  03:30:00  HBV      0.4    1.4    2.6   11.0   17.0
01/01/2007  03:45:00  HBV      0.4    1.6    3.0   11.4   17.4
01/01/2007  04:00:00  HBV      1.2    2.6    4.2   12.6   18.6
01/01/2007  04:15:00  HBV      0.8    2.8    5.0   13.4   19.4
01/01/2007  04:30:00  HBV      0.2    2.6    5.0   13.6   19.6
01/01/2007  04:45:00  HBV      0.2    2.4    5.2   13.8   19.8
01/01/2007  05:00:00  HBV      0.2    1.4    5.4   14.0   20.0
01/01/2007  05:15:00  HBV      0.2    0.8    5.4   14.2   20.2
01/01/2007  05:30:00  HBV      0.2    0.8    5.4   14.4   20.4
01/01/2007  05:45:00  HBV      0.2    0.8    5.4   14.6   20.6
01/01/2007  06:00:00  HBV      0.2    0.8    5.6   14.8   20.8
01/01/2007  06:15:00  HBV      0.2    0.8    5.6   15.0   21.0
01/01/2007  06:30:00  HBV      0.0    0.6    5.4   15.0   21.0
01/01/2007  06:45:00  HBV      0.2    0.6    5.4   15.2   21.2
01/01/2007  07:00:00  HBV      0.0    0.4    5.2   15.0   21.2
01/01/2007  07:15:00  HBV      0.2    0.4    4.8   14.8   21.4
