Relatório Pluviométrico da Estação: Laranjeiras

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2003  00:04:40  HBV      0.0    0.2    0.6   11.0   66.2
01/12/2003  00:19:40  HBV      0.0    0.2    0.6   11.0   66.2
01/12/2003  00:34:40  HBV      0.2    0.2    0.6   10.8   66.4
01/12/2003  00:49:40  HBV      0.0    0.2    0.6   10.6   66.4
01/12/2003  01:04:40  HBV      0.0    0.2    0.6   10.4   66.4
01/12/2003  01:19:40  HBV      0.0    0.2    0.6   10.4   66.4
01/12/2003  01:34:40  HBV      0.0    0.0    0.6   10.4   66.4
01/12/2003  01:49:40  HBV      0.0    0.0    0.6   10.4   66.4
01/12/2003  02:04:40  HBV      0.0    0.0    0.6   10.4   66.4
01/12/2003  02:19:40  HBV      0.0    0.0    0.6   10.4   66.4
01/12/2003  02:34:40  HBV      0.2    0.2    0.6   10.6   66.6
01/12/2003  02:49:40  HBV      0.0    0.2    0.6   10.6   66.6
01/12/2003  03:04:40  HBV      0.0    0.2    0.6   10.6   66.6
01/12/2003  03:19:40  HBV      0.0    0.2    0.6   10.4   66.6
01/12/2003  03:34:40  HBV      0.0    0.0    0.4    9.8   66.6
01/12/2003  03:49:40  HBV      0.2    0.2    0.6    9.2   66.8
01/12/2003  04:04:40  HBV      1.6    1.8    2.2   10.6   68.4
01/12/2003  04:19:40  HBV      0.0    1.8    2.2   10.2   68.4
01/12/2003  04:34:40  HBV      0.0    1.8    2.0    9.6   68.4
01/12/2003  04:49:40  HBV      0.0    1.6    2.0    9.0   68.4
01/12/2003  05:04:40  HBV      0.0    0.0    2.0    8.6   68.4
01/12/2003  05:19:40  HBV      0.2    0.2    2.2    8.2   68.6
01/12/2003  05:34:40  HBV      0.0    0.2    2.2    7.8   68.6
01/12/2003  05:49:40  HBV      0.0    0.2    2.2    7.4   68.6
01/12/2003  06:04:40  HBV      0.4    0.6    2.6    7.6   69.0
01/12/2003  06:19:40  HBV      0.6    1.0    3.2    8.2   69.6
01/12/2003  06:34:40  HBV      0.2    1.2    3.2    8.4   69.8
01/12/2003  06:49:40  HBV      0.0    1.2    3.2    8.4   69.8
01/12/2003  07:04:40  HBV      0.2    1.0    3.4    8.4   70.0
01/12/2003  07:19:40  HBV      0.0    0.4    3.4    8.4   70.0
01/12/2003  07:34:40  HBV      0.0    0.2    3.4    8.4   70.0
01/12/2003  07:49:40  HBV      0.0    0.2    3.2    8.4   70.0
01/12/2003  08:04:40  HBV      0.0    0.0    1.6    8.4   70.0
01/12/2003  08:19:40  HBV      0.0    0.0    1.6    8.4   70.0
01/12/2003  08:34:40  HBV      0.0    0.0    1.6    7.8   70.0
01/12/2003  08:49:40  HBV      0.0    0.0    1.6    6.8   70.0
01/12/2003  09:04:40  HBV      0.8    0.8    2.4    6.8   70.8
01/12/2003  09:19:40  HBV      0.8    1.6    3.0    7.4   71.6
01/12/2003  09:34:40  HBV      0.6    2.2    3.6    7.8   72.2
01/12/2003  09:49:40  HBV      0.6    2.8    4.2    8.2   72.8
01/12/2003  10:04:40  HBV      0.6    2.6    4.4    8.6   73.2
01/12/2003  10:19:40  HBV      0.2    2.0    4.0    8.8   73.4
01/12/2003  10:34:40  HBV      0.2    1.6    4.0    9.0   73.6
01/12/2003  10:49:40  HBV      0.0    1.0    4.0    9.0   73.6
01/12/2003  11:04:40  HBV      0.0    0.4    3.8    9.0   73.6
01/12/2003  11:19:40  HBV      0.2    0.4    4.0    9.2   73.8
01/12/2003  11:34:40  HBV      0.2    0.4    4.2    9.4   74.0
01/12/2003  11:49:40  HBV      0.0    0.4    4.2    9.4   74.0
01/12/2003  12:04:40  HBV      0.2    0.6    4.4    9.6   74.2
01/12/2003  12:19:40  HBV      0.2    0.6    4.6    9.8   74.4
01/12/2003  12:34:40  HBV      0.0    0.4    4.6    9.8   74.4
01/12/2003  12:49:40  HBV      0.0    0.4    4.6    9.8   74.4
01/12/2003  13:04:40  HBV      0.0    0.2    3.8    9.8   74.4
01/12/2003  13:19:40  HBV      0.0    0.0    3.0    9.8   74.4
01/12/2003  13:34:40  HBV      0.0    0.0    2.4    9.8   74.4
01/12/2003  13:49:40  HBV      0.0    0.0    1.8    9.8   74.4
01/12/2003  14:04:40  HBV      0.0    0.0    1.2    9.8   74.4
01/12/2003  14:19:40  HBV      0.0    0.0    1.0    9.8   74.4
01/12/2003  14:34:40  HBV      0.0    0.0    0.8    9.8   74.4
