Relatório Pluviométrico da Estação: Laranjeiras

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2006  00:04:40  HBV      0.0    1.6   19.4   46.4   81.6
01/12/2006  00:19:40  HBV      0.0    1.2   19.4   46.4   81.0
01/12/2006  00:34:40  HBV      0.0    0.4   19.2   46.4   80.2
01/12/2006  00:49:40  HBV      0.0    0.0   19.0   46.4   78.8
01/12/2006  01:04:40  HBV      0.0    0.0   17.4   46.4   77.6
01/12/2006  01:19:40  HBV      0.0    0.0   14.6   46.4   76.2
01/12/2006  01:34:40  HBV      0.0    0.0   11.2   46.4   75.8
01/12/2006  01:49:40  HBV      0.0    0.0    8.4   46.4   75.4
01/12/2006  02:04:40  HBV      0.0    0.0    6.8   46.4   75.4
01/12/2006  02:19:40  HBV      0.0    0.0    4.6   46.4   75.4
01/12/2006  02:34:40  HBV      0.0    0.0    3.2   46.4   75.4
01/12/2006  02:49:40  HBV      0.0    0.0    2.4   46.4   75.4
01/12/2006  03:04:40  HBV      0.0    0.0    1.6   46.4   75.4
01/12/2006  03:19:40  HBV      0.0    0.0    1.2   46.4   75.4
01/12/2006  03:34:40  HBV      0.0    0.0    0.4   46.4   75.4
01/12/2006  03:49:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  04:04:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  04:19:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  04:34:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  04:49:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  05:04:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  05:19:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  05:34:40  HBV      0.0    0.0    0.0   46.4   75.4
01/12/2006  05:49:40  HBV      0.0    0.0    0.0   46.4   75.2
01/12/2006  06:04:40  HBV      0.0    0.0    0.0   46.4   74.8
01/12/2006  06:19:40  HBV      0.0    0.0    0.0   46.4   74.6
01/12/2006  06:34:40  HBV      0.0    0.0    0.0   46.4   74.6
