Relatório Pluviométrico da Estação: Penha

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/11/2001  01:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  01:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  01:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  01:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  02:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  02:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  02:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  02:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  03:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  03:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  03:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  03:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  04:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  04:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  04:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  04:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  05:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  05:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  05:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  05:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  06:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  06:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  06:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  06:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  07:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  07:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  07:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  07:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  08:02:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  08:17:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  08:32:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  08:47:20  HBV      0.0    0.0    0.0    0.0    0.0
01/11/2001  09:02:20  HBV      0.0    0.0    0.0    0.0    0.0
