Relatório Pluviométrico da Estação: Penha

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/02/2009  00:02:20  HBV      0.0    0.0    0.0    8.2   19.4
01/02/2009  00:17:20  HBV      0.0    0.0    0.0    8.2   19.0
01/02/2009  00:32:20  HBV      0.0    0.0    0.0    8.2   19.0
01/02/2009  00:47:20  HBV      0.0    0.0    0.0    8.2   18.8
01/02/2009  01:02:20  HBV      0.0    0.0    0.0    8.2   18.4
01/02/2009  01:17:20  HBV      0.0    0.0    0.0    8.2   18.2
01/02/2009  01:32:20  HBV      0.0    0.0    0.0    8.2   17.6
01/02/2009  01:47:20  HBV      0.0    0.0    0.0    8.2   17.4
01/02/2009  02:02:20  HBV      0.0    0.0    0.0    8.2   17.4
01/02/2009  02:17:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  02:32:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  02:47:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  03:02:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  03:17:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  03:32:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  03:47:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  04:02:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  04:17:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  04:32:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  04:47:20  HBV      0.0    0.0    0.0    8.2   17.2
01/02/2009  05:02:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  05:17:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  05:32:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  05:47:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  06:02:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  06:17:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  06:32:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  06:47:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  07:02:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  07:17:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  07:32:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  07:47:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  08:02:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  08:17:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  08:32:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  08:47:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  09:02:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  09:17:20  HBV      0.0    0.0    0.0    8.2   17.0
01/02/2009  09:32:20  HBV      0.0    0.0    0.0    8.2   17.0
