Relatório Pluviométrico da Estação: Sepetiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/01/2010  00:06:40  HBV      0.0    0.0    0.0   42.0  137.2
01/01/2010  00:21:40  HBV      0.0    0.0    0.0   41.8  137.2
01/01/2010  00:36:40  HBV      0.0    0.0    0.0   41.6  137.2
01/01/2010  00:51:40  HBV      0.0    0.0    0.0   41.4  137.0
01/01/2010  01:06:40  HBV      0.0    0.0    0.0   41.2  136.4
01/01/2010  01:21:40  HBV      0.0    0.0    0.0   41.0  127.4
01/01/2010  01:36:40  HBV      0.0    0.0    0.0   40.6  122.6
01/01/2010  01:51:40  HBV      0.0    0.0    0.0   40.2  117.6
01/01/2010  02:06:40  HBV      0.0    0.0    0.0   40.2  114.8
01/01/2010  02:21:40  HBV      0.0    0.0    0.0   40.0  113.4
01/01/2010  02:36:40  HBV      0.0    0.0    0.0   39.8  113.0
01/01/2010  02:51:40  HBV      0.0    0.0    0.0   39.2  112.6
01/01/2010  03:06:40  HBV      0.0    0.0    0.0   39.0  111.4
01/01/2010  03:21:40  HBV      0.0    0.0    0.0   38.4  110.6
01/01/2010  03:36:40  HBV      0.0    0.0    0.0   37.8  110.2
01/01/2010  03:51:40  HBV      0.0    0.0    0.0   37.2  110.2
01/01/2010  04:06:40  HBV      0.0    0.0    0.0   37.0  110.2
01/01/2010  04:21:40  HBV      0.0    0.0    0.0   36.6  110.2
01/01/2010  04:36:40  HBV      0.0    0.0    0.0   36.4  110.0
01/01/2010  04:51:40  HBV      0.0    0.0    0.0   36.0  110.0
01/01/2010  05:06:40  HBV      0.0    0.0    0.0   35.6  110.0
01/01/2010  05:21:40  HBV      0.0    0.0    0.0   35.0  110.0
01/01/2010  05:36:40  HBV      0.0    0.0    0.0   34.6  110.0
01/01/2010  05:51:40  HBV      0.0    0.0    0.0   29.2  110.0
01/01/2010  06:06:40  HBV      0.0    0.0    0.0   21.6  110.0
01/01/2010  06:21:40  HBV      0.0    0.0    0.0   18.6  110.0
01/01/2010  06:36:40  HBV      0.0    0.0    0.0   17.8  110.0
01/01/2010  06:51:40  HBV      0.0    0.0    0.0   16.4  110.0
01/01/2010  07:06:40  HBV      0.0    0.0    0.0   15.4  110.0
01/01/2010  07:21:40  HBV      0.0    0.0    0.0   14.6  110.0
