Relatório Pluviométrico da Estação: Jacarepagua/Tanque

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/11/1998  00:12:20  HBV      0.0    0.0    1.1    6.4    7.7
01/11/1998  00:27:20  HBV      0.0    0.0    1.1    6.2    7.7
01/11/1998  00:42:20  HBV      0.0    0.0    1.1    6.0    7.7
01/11/1998  00:57:20  HBV      0.0    0.0    0.9    5.8    7.7
01/11/1998  01:12:20  HBV      0.0    0.0    0.7    5.8    7.7
01/11/1998  01:27:20  HBV      0.0    0.0    0.2    5.8    7.7
01/11/1998  01:42:20  HBV      0.0    0.0    0.2    5.6    7.7
01/11/1998  01:57:20  HBV      0.0    0.0    0.2    5.6    7.7
01/11/1998  02:12:20  HBV      0.0    0.0    0.2    5.4    7.7
01/11/1998  02:27:20  HBV      0.0    0.0    0.2    5.2    7.7
01/11/1998  02:42:20  HBV      0.0    0.0    0.2    5.0    7.7
01/11/1998  02:57:20  HBV      0.0    0.0    0.0    4.8    7.7
01/11/1998  03:12:20  HBV      0.0    0.0    0.0    4.6    7.7
01/11/1998  03:27:20  HBV      0.0    0.0    0.0    4.6    7.7
01/11/1998  03:42:20  HBV      0.0    0.0    0.0    4.6    7.7
01/11/1998  03:57:20  HBV      0.0    0.0    0.0    4.6    7.7
01/11/1998  04:12:20  HBV      0.0    0.0    0.0    4.4    7.7
01/11/1998  04:27:20  HBV      0.0    0.0    0.0    4.4    7.7
01/11/1998  04:42:20  HBV      0.0    0.0    0.0    4.2    7.7
01/11/1998  04:57:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  05:12:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  05:27:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  05:42:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  05:57:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  06:12:20  HBV      0.0    0.0    0.0    4.0    7.7
01/11/1998  06:27:20  HBV      0.0    0.0    0.0    3.8    7.7
01/11/1998  06:42:20  HBV      0.0    0.0    0.0    3.8    7.7
01/11/1998  06:57:20  HBV      0.0    0.0    0.0    3.8    7.7
01/11/1998  07:12:20  HBV      0.0    0.0    0.0    3.8    7.7
