Relatório Pluviométrico da Estação: Vidigal

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/02/2006  00:03:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  00:18:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  00:33:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  00:48:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  01:03:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  01:18:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  01:33:20  HBV      0.0    0.0    0.2   10.0   29.6
01/02/2006  01:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  02:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  02:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  02:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  02:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  03:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  03:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  03:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  03:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  04:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  04:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  04:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  04:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  05:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  05:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  05:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  05:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  06:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  06:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  06:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  06:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  07:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  07:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  07:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  07:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  08:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  08:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  08:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  08:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  09:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  09:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  09:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  09:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  10:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  10:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  10:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  10:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  11:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  11:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  11:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  11:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  12:03:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  12:18:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  12:33:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  12:48:20  HBV      0.0    0.0    0.0   10.0   29.6
01/02/2006  13:03:20  HBV      0.0    0.0    0.0   10.0   29.6
